ticket_id,customer_id,sku_id,order_id,issue_type,issue_text,resolution_status,created_at,Resolved_at
TICK00000166,CUST00473,SKU00085,ORD0001437,Product Damage Report,Huge scratch across entire top surface.,Open,2026-03-27 00:29:02.000000,2026-03-30 00:29:02.000000
TICK00000167,CUST00475,SKU00154,ORD0001451,Return Status Inquiry,"Initiated return 10 days ago, still no shipping label.",In Progress,2025-06-29 08:32:10.000000,
TICK00000168,CUST00476,SKU00403,ORD0001453,Return Status Inquiry,Return portal won't let me process - says outside window.,In Progress,2025-01-10 00:19:38.000000,2025-01-13 00:19:38.000000
TICK00000169,CUST00481,SKU00353,ORD0001470,Return Status Inquiry,Return delivered back to you a week ago. When is refund?,Open,2025-12-18 16:56:08.000000,2025-12-19 16:56:08.000000
TICK00000170,CUST00484,SKU00390,ORD0001478,Return Status Inquiry,"Initiated return 10 days ago, still no shipping label.",Closed,2024-10-14 21:51:37.000000,2024-10-17 21:51:37.000000
TICK00000171,CUST00486,SKU00013,ORD0001486,Return Status Inquiry,Was promised full refund but only got partial amount.,Resolved,2024-07-08 06:57:35.000000,2024-07-14 06:57:35.000000
TICK00000172,CUST00493,SKU00016,ORD0001505,Return Status Inquiry,Return portal won't let me process - says outside window.,In Progress,2025-11-17 06:35:13.000000,2025-11-24 06:35:13.000000
TICK00000173,CUST00497,SKU00339,ORD0001516,Return Status Inquiry,Was promised full refund but only got partial amount.,Open,2024-08-05 08:59:15.000000,2024-08-06 08:59:15.000000
TICK00000174,CUST00503,SKU00328,ORD0001538,Return Status Inquiry,"Initiated return 10 days ago, still no shipping label.",Open,2024-10-11 14:39:31.000000,2024-10-17 14:39:31.000000
TICK00000175,CUST00507,SKU00058,ORD0001543,Return Status Inquiry,"Initiated return 10 days ago, still no shipping label.",Resolved,2025-07-08 11:58:17.000000,2025-07-15 11:58:17.000000
TICK00000176,CUST00515,SKU00051,ORD0001570,Product Damage Report,Corner of table is crushed - box was damaged.,In Progress,2024-12-01 16:33:38.000000,2024-12-08 16:33:38.000000
TICK00000177,CUST00515,SKU00304,ORD0001570,Return Status Inquiry,Return delivered back to you a week ago. When is refund?,Resolved,2024-11-27 16:33:38.000000,2024-12-02 16:33:38.000000
TICK00000178,CUST00519,SKU00243,ORD0001580,Return Status Inquiry,Return delivered back to you a week ago. When is refund?,Open,2024-08-15 16:49:57.000000,2024-08-21 16:49:57.000000
TICK00000179,CUST00525,SKU00057,ORD0001604,Return Status Inquiry,Return portal won't let me process - says outside window.,Open,2025-07-29 12:50:53.000000,
TICK00000180,CUST00537,SKU00373,ORD0001639,Return Status Inquiry,Return delivered back to you a week ago. When is refund?,In Progress,2024-05-21 17:04:20.000000,
TICK00000181,CUST00538,SKU00166,ORD0001643,Return Status Inquiry,Return delivered back to you a week ago. When is refund?,Open,2024-06-14 23:38:28.000000,2024-06-17 23:38:28.000000
TICK00000182,CUST00540,SKU00384,ORD0001647,Return Status Inquiry,"Initiated return 10 days ago, still no shipping label.",Resolved,2024-09-24 12:07:05.000000,2024-09-26 12:07:05.000000
TICK00000183,CUST00541,SKU00144,ORD0001649,Return Status Inquiry,Return portal won't let me process - says outside window.,In Progress,2024-07-31 00:40:24.000000,2024-08-04 00:40:24.000000
TICK00000184,CUST00548,SKU00301,ORD0001668,Quality Complaint,Weld on metal frame has cracked.,In Progress,2025-09-21 07:45:06.000000,2025-09-25 07:45:06.000000
TICK00000185,CUST00549,SKU00171,ORD0001671,Quality Complaint,Weld on metal frame has cracked.,In Progress,2024-06-29 10:00:57.000000,2024-06-30 10:00:57.000000
TICK00000186,CUST00549,SKU00294,ORD0001671,Quality Complaint,Fabric is pilling badly after a few weeks.,Resolved,2024-06-17 10:00:57.000000,2024-06-21 10:00:57.000000
TICK00000187,CUST00549,SKU00036,ORD0001675,Return Status Inquiry,Was promised full refund but only got partial amount.,Resolved,2024-06-04 07:00:09.000000,
TICK00000188,CUST00557,SKU00199,ORD0001695,Return Status Inquiry,Return delivered back to you a week ago. When is refund?,Resolved,2024-08-30 22:22:46.000000,
TICK00000189,CUST00558,SKU00314,ORD0001697,Return Status Inquiry,Return delivered back to you a week ago. When is refund?,Open,2025-08-23 13:07:17.000000,2025-08-27 13:07:17.000000
TICK00000190,CUST00561,SKU00003,ORD0001706,Return Status Inquiry,Was promised full refund but only got partial amount.,Resolved,2024-07-14 15:51:47.000000,
TICK00000191,CUST00564,SKU00084,ORD0001713,Quality Complaint,Weld on metal frame has cracked.,Open,2025-02-17 20:03:26.000000,
TICK00000192,CUST00568,SKU00321,ORD0001726,Return Status Inquiry,Return delivered back to you a week ago. When is refund?,Resolved,2025-05-29 13:37:19.000000,2025-05-31 13:37:19.000000
TICK00000193,CUST00569,SKU00377,ORD0001728,Return Status Inquiry,Return delivered back to you a week ago. When is refund?,Open,2024-10-02 01:03:30.000000,2024-10-04 01:03:30.000000
TICK00000194,CUST00569,SKU00305,ORD0001729,Return Status Inquiry,Return delivered back to you a week ago. When is refund?,Resolved,2026-03-30 02:03:18.000000,
TICK00000195,CUST00572,SKU00049,ORD0001741,Return Status Inquiry,Return delivered back to you a week ago. When is refund?,Closed,2024-11-01 06:01:29.000000,2024-11-03 06:01:29.000000
TICK00000196,CUST00574,SKU00246,ORD0001749,Return Status Inquiry,Was promised full refund but only got partial amount.,Open,2024-06-24 23:07:05.000000,2024-06-28 23:07:05.000000
TICK00000197,CUST00574,SKU00085,ORD0001749,Product Damage Report,Corner of table is crushed - box was damaged.,In Progress,2024-06-27 23:07:05.000000,2024-07-03 23:07:05.000000
TICK00000198,CUST00581,SKU00259,ORD0001775,Return Status Inquiry,"Initiated return 10 days ago, still no shipping label.",In Progress,2025-04-11 21:47:13.000000,2025-04-17 21:47:13.000000
TICK00000199,CUST00584,SKU00077,ORD0001786,Quality Complaint,Finish is already peeling off after 2 months.,In Progress,2025-04-18 01:56:06.000000,
TICK00000200,CUST00589,SKU00087,ORD0001800,Quality Complaint,Finish is already peeling off after 2 months.,Closed,2025-05-15 06:51:38.000000,2025-05-16 06:51:38.000000
TICK00000201,CUST00592,SKU00069,ORD0001805,Quality Complaint,Finish is already peeling off after 2 months.,Closed,2026-01-04 10:59:05.000000,2026-01-11 10:59:05.000000
TICK00000202,CUST00597,SKU00344,ORD0001823,Quality Complaint,Fabric is pilling badly after a few weeks.,In Progress,2026-01-12 07:56:54.000000,
TICK00000203,CUST00598,SKU00243,ORD0001825,Return Status Inquiry,Return delivered back to you a week ago. When is refund?,Closed,2026-02-14 20:16:24.000000,2026-02-16 20:16:24.000000
TICK00000204,CUST00610,SKU00306,ORD0001847,Return Status Inquiry,Was promised full refund but only got partial amount.,Open,2025-12-05 23:30:05.000000,2025-12-10 23:30:05.000000
TICK00000205,CUST00613,SKU00213,ORD0001861,Return Status Inquiry,Was promised full refund but only got partial amount.,Resolved,2025-02-16 16:30:37.000000,
TICK00000206,CUST00614,SKU00163,ORD0001863,Return Status Inquiry,Return delivered back to you a week ago. When is refund?,Resolved,2024-11-05 03:58:23.000000,2024-11-07 03:58:23.000000
TICK00000207,CUST00616,SKU00072,ORD0001870,Return Status Inquiry,Return portal won't let me process - says outside window.,Open,2024-08-12 05:35:36.000000,
TICK00000208,CUST00629,SKU00059,ORD0001914,Quality Complaint,Finish is already peeling off after 2 months.,Open,2025-01-08 20:47:02.000000,2025-01-14 20:47:02.000000
TICK00000209,CUST00630,SKU00076,ORD0001918,Return Status Inquiry,"Initiated return 10 days ago, still no shipping label.",Closed,2024-10-27 09:29:59.000000,
TICK00000210,CUST00631,SKU00060,ORD0001921,Product Damage Report,Upholstery has tear along the back seam.,In Progress,2024-06-18 08:53:34.000000,2024-06-19 08:53:34.000000
TICK00000211,CUST00632,SKU00345,ORD0001924,Quality Complaint,Weld on metal frame has cracked.,Resolved,2025-12-28 14:03:22.000000,
TICK00000212,CUST00632,SKU00244,ORD0001925,Return Status Inquiry,Return portal won't let me process - says outside window.,Resolved,2024-07-18 23:49:54.000000,2024-07-22 23:49:54.000000
TICK00000213,CUST00632,SKU00254,ORD0001925,Return Status Inquiry,Return portal won't let me process - says outside window.,Open,2024-07-05 23:49:54.000000,2024-07-10 23:49:54.000000
TICK00000214,CUST00632,SKU00164,ORD0001929,Return Status Inquiry,Return portal won't let me process - says outside window.,Open,2026-02-09 02:11:35.000000,2026-02-10 02:11:35.000000
TICK00000215,CUST00634,SKU00314,ORD0001934,Return Status Inquiry,Return delivered back to you a week ago. When is refund?,Open,2025-09-18 13:41:12.000000,2025-09-25 13:41:12.000000
TICK00000216,CUST00646,SKU00384,ORD0001975,Quality Complaint,Fabric is pilling badly after a few weeks.,Open,2026-02-07 02:04:24.000000,
TICK00000217,CUST00647,SKU00303,ORD0001976,Return Status Inquiry,Return delivered back to you a week ago. When is refund?,Resolved,2024-10-03 03:09:18.000000,
TICK00000218,CUST00650,SKU00193,ORD0001984,Return Status Inquiry,"Initiated return 10 days ago, still no shipping label.",Open,2025-12-12 19:42:53.000000,2025-12-17 19:42:53.000000
TICK00000219,CUST00653,SKU00091,ORD0001992,Return Status Inquiry,Return portal won't let me process - says outside window.,In Progress,2025-12-28 18:59:09.000000,2025-12-30 18:59:09.000000
TICK00000220,CUST00653,SKU00257,ORD0001993,Return Status Inquiry,Return delivered back to you a week ago. When is refund?,In Progress,2025-08-12 02:10:30.000000,2025-08-19 02:10:30.000000
TICK00000221,CUST00653,SKU00335,ORD0001994,Return Status Inquiry,"Initiated return 10 days ago, still no shipping label.",Open,2024-08-20 22:22:01.000000,2024-08-22 22:22:01.000000
TICK00000222,CUST00655,SKU00237,ORD0001997,Return Status Inquiry,Return portal won't let me process - says outside window.,Open,2024-05-26 23:08:00.000000,
TICK00000223,CUST00655,SKU00381,ORD0001998,Quality Complaint,Finish is already peeling off after 2 months.,Resolved,2025-09-13 10:52:29.000000,2025-09-17 10:52:29.000000
TICK00000224,CUST00656,SKU00289,ORD0002001,Return Status Inquiry,"Initiated return 10 days ago, still no shipping label.",Closed,2025-02-04 18:19:35.000000,
TICK00000225,CUST00658,SKU00055,ORD0002008,Return Status Inquiry,"Initiated return 10 days ago, still no shipping label.",In Progress,2026-02-13 13:18:59.000000,
TICK00000226,CUST00658,SKU00230,ORD0002008,Return Status Inquiry,Return portal won't let me process - says outside window.,Open,2026-02-22 13:18:59.000000,2026-02-25 13:18:59.000000
TICK00000227,CUST00662,SKU00072,ORD0002017,Product Damage Report,Just opened box and glass is completely shattered.,Open,2025-06-02 04:01:12.000000,2025-06-06 04:01:12.000000
TICK00000228,CUST00664,SKU00038,ORD0002026,Quality Complaint,Weld on metal frame has cracked.,Closed,2026-03-06 13:07:32.000000,
TICK00000229,CUST00667,SKU00396,ORD0002038,Return Status Inquiry,Was promised full refund but only got partial amount.,In Progress,2025-02-09 15:18:36.000000,2025-02-13 15:18:36.000000
TICK00000230,CUST00667,SKU00133,ORD0002043,Return Status Inquiry,Was promised full refund but only got partial amount.,In Progress,2024-07-07 09:28:28.000000,2024-07-08 09:28:28.000000
TICK00000231,CUST00678,SKU00311,ORD0002069,Return Status Inquiry,Return delivered back to you a week ago. When is refund?,Open,2024-10-09 22:31:37.000000,
TICK00000232,CUST00679,SKU00412,ORD0002071,Return Status Inquiry,Return portal won't let me process - says outside window.,In Progress,2024-08-14 13:40:44.000000,
TICK00000233,CUST00680,SKU00279,ORD0002077,Return Status Inquiry,Was promised full refund but only got partial amount.,Closed,2024-08-01 19:06:16.000000,2024-08-03 19:06:16.000000
TICK00000234,CUST00683,SKU00188,ORD0002085,Return Status Inquiry,Was promised full refund but only got partial amount.,Open,2025-03-17 12:32:48.000000,2025-03-23 12:32:48.000000
TICK00000235,CUST00687,SKU00071,ORD0002107,Return Status Inquiry,Return delivered back to you a week ago. When is refund?,Open,2025-08-19 23:18:45.000000,2025-08-20 23:18:45.000000
TICK00000236,CUST00696,SKU00355,ORD0002136,Return Status Inquiry,Return delivered back to you a week ago. When is refund?,Open,2025-01-21 19:08:37.000000,2025-01-25 19:08:37.000000
TICK00000237,CUST00705,SKU00298,ORD0002162,Return Status Inquiry,Was promised full refund but only got partial amount.,In Progress,2025-10-31 13:25:35.000000,2025-11-05 13:25:35.000000
TICK00000238,CUST00709,SKU00138,ORD0002171,Return Status Inquiry,"Initiated return 10 days ago, still no shipping label.",Resolved,2025-04-17 22:11:49.000000,2025-04-24 22:11:49.000000
TICK00000239,CUST00709,SKU00213,ORD0002172,Product Damage Report,Huge scratch across entire top surface.,In Progress,2024-06-04 03:51:33.000000,2024-06-10 03:51:33.000000
TICK00000240,CUST00709,SKU00332,ORD0002175,Quality Complaint,Strong chemical odor that still hasn't gone away.,Open,2024-05-24 11:02:22.000000,2024-05-25 11:02:22.000000
TICK00000241,CUST00711,SKU00098,ORD0002180,Return Status Inquiry,"Initiated return 10 days ago, still no shipping label.",Open,2024-12-30 13:33:49.000000,
TICK00000242,CUST00711,SKU00387,ORD0002188,Quality Complaint,Weld on metal frame has cracked.,Resolved,2024-11-11 04:32:32.000000,2024-11-13 04:32:32.000000
TICK00000243,CUST00715,SKU00407,ORD0002196,Return Status Inquiry,Return delivered back to you a week ago. When is refund?,Closed,2025-12-16 22:22:23.000000,
TICK00000244,CUST00716,SKU00100,ORD0002203,Return Status Inquiry,Return delivered back to you a week ago. When is refund?,Open,2026-01-16 07:15:14.000000,2026-01-21 07:15:14.000000
TICK00000245,CUST00718,SKU00309,ORD0002207,Return Status Inquiry,Return delivered back to you a week ago. When is refund?,Closed,2025-03-08 03:22:39.000000,2025-03-10 03:22:39.000000
TICK00000246,CUST00721,SKU00289,ORD0002218,Return Status Inquiry,Return portal won't let me process - says outside window.,In Progress,2026-04-05 08:49:38.000000,2026-04-06 08:49:38.000000
TICK00000247,CUST00725,SKU00217,ORD0002228,Product Damage Report,Upholstery has tear along the back seam.,Open,2025-08-21 08:58:29.000000,
TICK00000248,CUST00725,SKU00206,ORD0002228,Return Status Inquiry,"Initiated return 10 days ago, still no shipping label.",Closed,2025-08-12 08:58:29.000000,2025-08-18 08:58:29.000000
TICK00000249,CUST00731,SKU00332,ORD0002250,Return Status Inquiry,"Initiated return 10 days ago, still no shipping label.",Closed,2025-11-02 23:14:01.000000,2025-11-04 23:14:01.000000
TICK00000250,CUST00731,SKU00225,ORD0002251,Product Damage Report,Upholstery has tear along the back seam.,In Progress,2026-03-01 05:05:59.000000,2026-03-03 05:05:59.000000
TICK00000251,CUST00736,SKU00328,ORD0002267,Return Status Inquiry,"Initiated return 10 days ago, still no shipping label.",In Progress,2025-12-05 21:32:34.000000,2025-12-10 21:32:34.000000
TICK00000252,CUST00739,SKU00196,ORD0002274,Return Status Inquiry,Return portal won't let me process - says outside window.,Resolved,2025-10-09 02:55:26.000000,2025-10-10 02:55:26.000000
TICK00000253,CUST00742,SKU00029,ORD0002280,Return Status Inquiry,Return delivered back to you a week ago. When is refund?,Resolved,2024-10-23 17:42:14.000000,2024-10-25 17:42:14.000000
TICK00000254,CUST00742,SKU00119,ORD0002285,Return Status Inquiry,Was promised full refund but only got partial amount.,Resolved,2025-02-07 19:21:16.000000,2025-02-11 19:21:16.000000
TICK00000255,CUST00744,SKU00153,ORD0002289,Return Status Inquiry,Was promised full refund but only got partial amount.,Open,2024-08-26 14:43:33.000000,2024-09-01 14:43:33.000000
TICK00000256,CUST00751,SKU00036,ORD0002309,Product Damage Report,Corner of table is crushed - box was damaged.,Closed,2024-09-09 22:37:06.000000,
TICK00000257,CUST00751,SKU00240,ORD0002310,Product Damage Report,Corner of table is crushed - box was damaged.,In Progress,2025-05-08 01:17:06.000000,2025-05-15 01:17:06.000000
TICK00000258,CUST00759,SKU00156,ORD0002335,Quality Complaint,Fabric is pilling badly after a few weeks.,Open,2025-10-26 12:36:36.000000,
TICK00000259,CUST00759,SKU00293,ORD0002338,Quality Complaint,Strong chemical odor that still hasn't gone away.,In Progress,2026-01-19 23:29:34.000000,2026-01-22 23:29:34.000000
TICK00000260,CUST00760,SKU00387,ORD0002342,Return Status Inquiry,"Initiated return 10 days ago, still no shipping label.",In Progress,2025-09-17 03:52:02.000000,2025-09-19 03:52:02.000000
TICK00000261,CUST00761,SKU00088,ORD0002344,Return Status Inquiry,Return delivered back to you a week ago. When is refund?,Closed,2025-11-06 13:13:29.000000,
TICK00000262,CUST00762,SKU00332,ORD0002347,Quality Complaint,Finish is already peeling off after 2 months.,Open,2025-06-20 13:14:17.000000,2025-06-26 13:14:17.000000
TICK00000263,CUST00763,SKU00348,ORD0002350,Return Status Inquiry,"Initiated return 10 days ago, still no shipping label.",In Progress,2024-12-26 10:01:44.000000,2024-12-28 10:01:44.000000
TICK00000264,CUST00763,SKU00099,ORD0002352,Quality Complaint,Fabric is pilling badly after a few weeks.,In Progress,2024-08-17 18:32:31.000000,
TICK00000265,CUST00765,SKU00209,ORD0002359,Return Status Inquiry,"Initiated return 10 days ago, still no shipping label.",Closed,2026-01-03 22:00:15.000000,
TICK00000266,CUST00777,SKU00346,ORD0002387,Return Status Inquiry,Return portal won't let me process - says outside window.,Closed,2025-05-03 05:23:44.000000,2025-05-10 05:23:44.000000
TICK00000267,CUST00782,SKU00301,ORD0002400,Quality Complaint,Finish is already peeling off after 2 months.,Closed,2025-04-17 06:11:29.000000,
TICK00000268,CUST00787,SKU00095,ORD0002411,Product Damage Report,Upholstery has tear along the back seam.,Resolved,2024-10-02 18:28:12.000000,
TICK00000269,CUST00794,SKU00344,ORD0002433,Quality Complaint,Strong chemical odor that still hasn't gone away.,Closed,2024-12-09 01:28:32.000000,
TICK00000270,CUST00798,SKU00258,ORD0002446,Product Damage Report,Huge scratch across entire top surface.,Resolved,2024-07-06 00:03:47.000000,2024-07-07 00:03:47.000000
TICK00000271,CUST00638,,,Product Damage Report,Just opened box and glass is completely shattered.,In Progress,2026-04-09 21:51:14.658733,2026-04-15 21:51:14.658733
TICK00000272,CUST00035,SKU00239,,Return Status Inquiry,Return delivered back to you a week ago. When is refund?,Closed,2026-04-09 21:51:14.720633,2026-04-12 21:51:14.720633
TICK00000273,CUST00027,,,Product Damage Report,Just opened box and glass is completely shattered.,Closed,2026-04-09 21:51:14.605139,2026-04-18 21:51:14.605139
TICK00000274,CUST00070,SKU00012,,Assembly Help,Stuck on step 7 of assembly. Diagram doesn't match pieces.,Open,2026-04-09 21:51:14.842530,2026-04-13 21:51:14.842530
TICK00000275,CUST00282,SKU00362,ORD0000828,Assembly Help,Stuck on step 7 of assembly. Diagram doesn't match pieces.,Open,2026-04-09 21:51:14.563618,
TICK00000276,CUST00489,SKU00320,ORD0001494,Missing Parts,Received two left legs and no right leg.,Closed,2026-04-09 21:51:14.825236,2026-04-15 21:51:14.825236
TICK00000277,CUST00545,SKU00068,ORD0001659,Quality Complaint,Fabric is pilling badly after a few weeks.,Resolved,2026-04-09 21:51:14.028373,2026-04-18 21:51:14.028373
TICK00000278,CUST00428,SKU00312,ORD0001311,Product Damage Report,Upholstery has tear along the back seam.,In Progress,2026-04-09 21:51:14.045462,
TICK00000279,CUST00708,SKU00034,ORD0002170,Return Status Inquiry,Return delivered back to you a week ago. When is refund?,Resolved,2026-04-09 21:51:14.641454,2026-04-19 21:51:14.641454
TICK00000280,CUST00450,SKU00361,ORD0001384,Product Damage Report,Corner of table is crushed - box was damaged.,Resolved,2026-04-09 21:51:14.576771,2026-04-16 21:51:14.576771
TICK00000281,CUST00777,SKU00350,ORD0002388,Quality Complaint,Fabric is pilling badly after a few weeks.,Resolved,2026-04-09 21:51:14.651130,2026-04-11 21:51:14.651130
TICK00000282,CUST00146,SKU00362,ORD0000433,Product Damage Report,Corner of table is crushed - box was damaged.,In Progress,2026-04-09 21:51:14.766959,
TICK00000283,CUST00582,SKU00310,ORD0001779,Return Status Inquiry,"Initiated return 10 days ago, still no shipping label.",Resolved,2026-04-09 21:51:14.416587,2026-04-17 21:51:14.416587
TICK00000284,CUST00699,SKU00029,ORD0002142,Assembly Help,Stuck on step 7 of assembly. Diagram doesn't match pieces.,Resolved,2026-04-09 21:51:14.638991,2026-04-15 21:51:14.638991
TICK00000285,CUST00219,SKU00273,ORD0000637,Return Status Inquiry,Was promised full refund but only got partial amount.,Open,2026-04-09 21:51:14.498038,2026-04-13 21:51:14.498038
TICK00000286,CUST00295,SKU00191,ORD0000860,Assembly Help,Cam locks won't tighten properly.,Escalated,2026-04-09 21:51:14.627164,2026-04-17 21:51:14.627164
TICK00000287,CUST00357,SKU00304,ORD0001055,Quality Complaint,Fabric is pilling badly after a few weeks.,Escalated,2026-04-09 21:51:14.289672,
TICK00000288,CUST00002,SKU00041,ORD0000007,Product Damage Report,Corner of table is crushed - box was damaged.,Resolved,2026-04-09 21:51:14.956650,2026-04-17 21:51:14.956650
TICK00000289,CUST00637,SKU00349,ORD0001945,Return Status Inquiry,Return delivered back to you a week ago. When is refund?,Open,2026-04-09 21:51:14.482945,2026-04-17 21:51:14.482945
TICK00000290,CUST00533,SKU00284,ORD0001630,Quality Complaint,Weld on metal frame has cracked.,Closed,2026-04-09 21:51:14.804688,2026-04-12 21:51:14.804688
TICK00000291,CUST00715,SKU00330,ORD0002200,Return Status Inquiry,Return portal won't let me process - says outside window.,Escalated,2026-04-09 21:51:14.684991,2026-04-15 21:51:14.684991
TICK00000292,CUST00727,SKU00001,ORD0002237,Assembly Help,Missing Allen wrench that's supposed to be included.,Resolved,2026-04-09 21:51:14.297434,
TICK00000293,CUST00686,SKU00136,ORD0002098,Delivery Issue,Delivery driver left package in the rain.,Escalated,2026-04-09 21:51:14.072973,2026-04-20 21:51:14.072973
TICK00000294,CUST00377,SKU00401,ORD0001120,Missing Parts,Hardware packet B is missing from shipment.,In Progress,2026-04-09 21:51:14.059913,2026-04-13 21:51:14.059913
TICK00000295,CUST00390,,,Quality Complaint,Fabric is pilling badly after a few weeks.,Resolved,2026-04-09 21:51:14.439605,2026-04-15 21:51:14.439605
TICK00000296,CUST00701,SKU00339,ORD0002149,Product Damage Report,Huge scratch across entire top surface.,Open,2026-04-09 21:51:14.484251,
TICK00000297,CUST00238,SKU00243,ORD0000699,Delivery Issue,Delivery driver left package in the rain.,Escalated,2026-04-09 21:51:14.204023,2026-04-15 21:51:14.204023
TICK00000298,CUST00562,SKU00414,,Product Damage Report,Upholstery has tear along the back seam.,Open,2026-04-09 21:51:14.606660,2026-04-12 21:51:14.606660
TICK00000299,CUST00242,SKU00279,ORD0000713,Quality Complaint,Weld on metal frame has cracked.,Resolved,2026-04-09 21:51:14.312582,2026-04-14 21:51:14.312582
TICK00000300,CUST00348,SKU00103,ORD0001039,Product Damage Report,Just opened box and glass is completely shattered.,Closed,2026-04-09 21:51:14.718363,2026-04-19 21:51:14.718363
TICK00000301,CUST00594,SKU00001,ORD0001809,Product Damage Report,Just opened box and glass is completely shattered.,Closed,2026-04-09 21:51:14.734200,2026-04-11 21:51:14.734200
TICK00000302,CUST00749,SKU00002,ORD0002304,Return Status Inquiry,Was promised full refund but only got partial amount.,Escalated,2026-04-09 21:51:14.860777,
TICK00000303,CUST00495,,,Delivery Issue,Scheduled delivery window was missed with no communication.,Resolved,2026-04-09 21:51:14.975374,2026-04-15 21:51:14.975374
TICK00000304,CUST00475,,,Delivery Issue,Delivery driver left package in the rain.,Closed,2026-04-09 21:51:14.130766,2026-04-19 21:51:14.130766
TICK00000305,CUST00289,SKU00229,ORD0000844,Missing Parts,Remote control is missing from the package.,Closed,2026-04-09 21:51:14.370540,
TICK00000306,CUST00011,SKU00414,ORD0000036,Quality Complaint,Strong chemical odor that still hasn't gone away.,Resolved,2026-04-09 21:51:14.561651,2026-04-17 21:51:14.561651
TICK00000307,CUST00301,SKU00203,ORD0000881,Assembly Help,Missing Allen wrench that's supposed to be included.,Escalated,2026-04-09 21:51:14.319116,2026-04-18 21:51:14.319116
TICK00000308,CUST00680,SKU00092,ORD0002075,Quality Complaint,Weld on metal frame has cracked.,Escalated,2026-04-09 21:51:14.466473,
TICK00000309,CUST00120,,,Assembly Help,Missing Allen wrench that's supposed to be included.,In Progress,2026-04-09 21:51:14.267472,
TICK00000310,CUST00027,SKU00277,,Product Damage Report,Upholstery has tear along the back seam.,In Progress,2026-04-09 21:51:14.247919,2026-04-20 21:51:14.247919
TICK00000311,CUST00042,SKU00264,ORD0000117,Delivery Issue,Tracking shows delivered but I never received anything.,In Progress,2026-04-09 21:51:14.096812,2026-04-13 21:51:14.096812
TICK00000312,CUST00608,SKU00370,ORD0001844,Quality Complaint,Finish is already peeling off after 2 months.,Open,2026-04-09 21:51:14.290212,2026-04-15 21:51:14.290212
TICK00000313,CUST00756,SKU00104,ORD0002327,Return Status Inquiry,Return portal won't let me process - says outside window.,Closed,2026-04-09 21:51:14.384150,
TICK00000314,CUST00175,,,Missing Parts,Received two left legs and no right leg.,In Progress,2026-04-09 21:51:14.615377,2026-04-11 21:51:14.615377
TICK00000315,CUST00522,SKU00073,ORD0001592,Assembly Help,Missing Allen wrench that's supposed to be included.,Open,2026-04-09 21:51:14.248270,2026-04-14 21:51:14.248270
TICK00000316,CUST00315,SKU00239,ORD0000932,Delivery Issue,Tracking shows delivered but I never received anything.,Closed,2026-04-09 21:51:14.865308,2026-04-16 21:51:14.865308
TICK00000317,CUST00038,SKU00225,ORD0000105,Return Status Inquiry,Was promised full refund but only got partial amount.,In Progress,2026-04-09 21:51:14.159700,2026-04-10 21:51:14.159700
TICK00000318,CUST00222,SKU00143,ORD0000647,Missing Parts,Decorative knobs for drawers weren't in the box.,Closed,2026-04-09 21:51:14.327436,2026-04-18 21:51:14.327436
TICK00000319,CUST00220,SKU00363,ORD0000640,Assembly Help,Stuck on step 7 of assembly. Diagram doesn't match pieces.,Escalated,2026-04-09 21:51:14.577687,2026-04-16 21:51:14.577687
TICK00000320,CUST00136,SKU00120,ORD0000384,Assembly Help,Stuck on step 7 of assembly. Diagram doesn't match pieces.,In Progress,2026-04-09 21:51:14.312715,2026-04-15 21:51:14.312715
TICK00000321,CUST00514,SKU00294,ORD0001567,Return Status Inquiry,"Initiated return 10 days ago, still no shipping label.",Resolved,2026-04-09 21:51:14.763121,2026-04-17 21:51:14.763121
TICK00000322,CUST00116,SKU00352,ORD0000335,Assembly Help,Missing Allen wrench that's supposed to be included.,Open,2026-04-09 21:51:14.498266,
TICK00000323,CUST00096,SKU00147,ORD0000277,Missing Parts,Decorative knobs for drawers weren't in the box.,Resolved,2026-04-09 21:51:14.514725,2026-04-12 21:51:14.514725
TICK00000324,CUST00788,SKU00278,ORD0002414,Missing Parts,Remote control is missing from the package.,In Progress,2026-04-09 21:51:14.498760,
TICK00000325,CUST00513,SKU00238,,Return Status Inquiry,"Initiated return 10 days ago, still no shipping label.",Open,2026-04-09 21:51:14.308541,2026-04-19 21:51:14.308541
TICK00000326,CUST00320,SKU00333,ORD0000948,Product Damage Report,Corner of table is crushed - box was damaged.,Escalated,2026-04-09 21:51:14.023176,2026-04-10 21:51:14.023176
TICK00000327,CUST00211,SKU00344,ORD0000617,Assembly Help,Cam locks won't tighten properly.,Escalated,2026-04-09 21:51:14.945233,2026-04-16 21:51:14.945233
TICK00000328,CUST00054,SKU00194,ORD0000149,Assembly Help,Pre-drilled holes for drawer slides don't align.,Closed,2026-04-09 21:51:14.505445,2026-04-15 21:51:14.505445
TICK00000329,CUST00418,SKU00399,ORD0001285,Product Damage Report,Corner of table is crushed - box was damaged.,In Progress,2026-04-09 21:51:14.966687,2026-04-16 21:51:14.966687
TICK00000330,CUST00696,SKU00333,ORD0002134,Return Status Inquiry,Return portal won't let me process - says outside window.,In Progress,2026-04-09 21:51:14.215144,
TICK00000331,CUST00129,SKU00074,,Product Damage Report,Huge scratch across entire top surface.,Escalated,2026-04-09 21:51:14.352895,
