return_id,order_id,order_item_id,sku_id,customer_id,return_reason,return_note,return_date,return_status,refund_amount,return_shipping_cost,condition_received
RET0000159,ORD0000418,OI0000906,SKU00270,CUST00143,Defective,Pre-drilled holes don't line up with hardware.,2024-11-07 12:05:47.000000,Refunded,244.35,12.87,Unused
RET0000160,ORD0000420,OI0000909,SKU00006,CUST00143,Difficult assembly,Holes for cam locks were drilled too shallow.,2025-01-01 16:43:38.000000,Refunded,56.42,28.35,Used
RET0000161,ORD0000421,OI0000914,SKU00341,CUST00144,Quality didn't meet expectations,Drawer slides are already sticking after two weeks.,2024-10-11 20:03:54.000000,Received,209.28,9.56,Used
RET0000162,ORD0000424,OI0000918,SKU00014,CUST00145,Too dark,Finish is at least two shades darker than shown.,2025-01-16 13:53:51.000000,Refunded,146.55,11.22,Used
RET0000163,ORD0000424,OI0000919,SKU00039,CUST00145,Too dark,This piece absorbs what little light there is. Makes the corner feel like a cave.,2025-01-18 13:53:51.000000,Inspected,117.27,19.36,Used
RET0000164,ORD0000425,OI0000920,SKU00088,CUST00145,Color mismatch,Gold finish is extremely yellow and brassy.,2025-12-10 16:46:53.000000,Refunded,104.65,16.11,Unused
RET0000165,ORD0000427,OI0000923,SKU00170,CUST00145,Not as described,Shown with decorative pillows that weren't included.,2025-02-23 21:51:22.000000,Refunded,155.32,12.1,Used
RET0000166,ORD0000429,OI0000930,SKU00139,CUST00145,Defective,Drawer doesn't close flush - frame is warped.,2025-11-23 12:54:37.000000,Refunded,222.32,29.11,Unused
RET0000167,ORD0000430,OI0000932,SKU00413,CUST00146,Too light,Wood tone is much lighter than the rich warm color shown.,2026-02-07 14:37:26.000000,Received,146.34,22.42,Used
RET0000168,ORD0000432,OI0000934,SKU00242,CUST00146,Quality didn't meet expectations,"For this price, I expected much better materials.",2024-11-06 09:06:48.000000,Received,103.91,11.61,Unused
RET0000169,ORD0000436,OI0000942,SKU00216,CUST00148,Not as described,Measurements online are wrong - about 3 inches narrower.,2024-05-11 11:45:43.000000,Refunded,69.59,14.72,Unused
RET0000170,ORD0000437,OI0000943,SKU00119,CUST00148,Color mismatch,Beige is much more yellow-toned than the photos.,2025-12-12 05:15:20.000000,Processing,213.66,12.0,Used
RET0000171,ORD0000438,OI0000944,SKU00044,CUST00148,Difficult assembly,Instructions were just bad diagrams with no text.,2025-06-06 09:55:52.000000,Refunded,79.61,8.18,Used
RET0000172,ORD0000439,OI0000946,SKU00355,CUST00149,Difficult assembly,Instructions were just bad diagrams with no text.,2024-06-06 21:22:38.000000,Inspected,31.41,22.11,Unused
RET0000173,ORD0000443,OI0000953,SKU00079,CUST00151,Difficult assembly,Pieces were labeled wrong - had to reassemble multiple times.,2024-06-10 17:34:13.000000,Received,1831.8,19.98,Used
RET0000174,ORD0000450,OI0000971,SKU00404,CUST00153,Too dark,Much more moody and dark in person.,2024-10-01 06:47:01.000000,Refunded,125.17,11.34,Used
RET0000175,ORD0000452,OI0000973,SKU00305,CUST00154,Not as described,Photos show a warm honey tone but it's very orange-yellow.,2024-05-06 06:20:32.000000,Received,134.12,15.74,Unused
RET0000176,ORD0000454,OI0000977,SKU00149,CUST00155,Defective,Pre-drilled holes don't line up with hardware.,2024-08-19 19:02:39.000000,Inspected,34.95,24.46,Unused
RET0000177,ORD0000462,OI0000993,SKU00097,CUST00158,Damaged upon arrival,Huge scratch across the top surface. Looks like it was dragged.,2025-04-27 15:17:35.000000,Refunded,187.68,11.81,Damaged
RET0000178,ORD0000464,OI0000996,SKU00206,CUST00159,Damaged upon arrival,Paint is chipped off in several places.,2024-11-07 11:09:36.000000,Processing,124.42,23.39,Damaged
RET0000179,ORD0000465,OI0001001,SKU00214,CUST00159,Difficult assembly,Need three hands to hold pieces while screwing.,2025-12-18 02:26:53.000000,Refunded,58.12,28.6,Used
RET0000180,ORD0000466,OI0001002,SKU00134,CUST00159,Too light,Pale compared to the product photography.,2025-02-08 23:08:09.000000,Refunded,320.75,28.38,Unused
RET0000181,ORD0000466,OI0001005,SKU00105,CUST00159,Too light,Pale compared to the product photography.,2025-01-31 23:08:09.000000,Inspected,249.88,11.5,Used
RET0000182,ORD0000467,OI0001008,SKU00076,CUST00159,Defective,One leg is shorter so the table wobbles.,2024-09-04 18:14:51.000000,Processing,148.69,12.9,Used
RET0000183,ORD0000468,OI0001010,SKU00369,CUST00159,Too light,Finish is practically white-washed.,2025-08-04 01:05:23.000000,Received,530.87,8.2,Unused
RET0000184,ORD0000468,OI0001011,SKU00115,CUST00159,Color mismatch,Beige is much more yellow-toned than the photos.,2025-08-17 01:05:23.000000,Processing,19.18,24.83,Used
RET0000185,ORD0000470,OI0001015,SKU00213,CUST00159,Not as described,Brass accents are actually painted plastic.,2025-11-29 08:46:33.000000,Refunded,287.94,23.9,Used
RET0000186,ORD0000471,OI0001018,SKU00163,CUST00160,Difficult assembly,Need three hands to hold pieces while screwing.,2025-11-11 09:34:50.000000,Refunded,520.52,15.56,Used
RET0000187,ORD0000471,OI0001020,SKU00202,CUST00160,Quality didn't meet expectations,Cushions losing shape after just a month.,2025-11-06 09:34:50.000000,Refunded,50.39,13.54,Used
RET0000188,ORD0000472,OI0001021,SKU00103,CUST00160,Too dark,In evening lighting it's almost black.,2024-07-30 09:28:43.000000,Received,80.21,8.95,Unused
RET0000189,ORD0000473,OI0001023,SKU00143,CUST00160,Quality didn't meet expectations,Construction feels flimsy and unstable.,2025-12-23 13:31:22.000000,Processing,138.36,24.14,Used
RET0000190,ORD0000475,OI0001027,SKU00136,CUST00161,Defective,Pre-drilled holes don't line up with hardware.,2024-08-24 15:14:50.000000,Received,79.2,23.09,Unused
RET0000191,ORD0000476,OI0001028,SKU00092,CUST00161,Defective,Drawer doesn't close flush - frame is warped.,2024-12-19 00:37:01.000000,Refunded,17.25,27.03,Unused
RET0000192,ORD0000477,OI0001031,SKU00009,CUST00161,Too dark,Much more moody and dark in person.,2024-07-27 09:32:17.000000,Processing,67.15,9.79,Used
RET0000193,ORD0000479,OI0001038,SKU00302,CUST00162,Defective,One leg is shorter so the table wobbles.,2024-05-06 09:06:42.000000,Processing,125.42,10.04,Used
RET0000194,ORD0000484,OI0001046,SKU00165,CUST00164,Defective,Drawer doesn't close flush - frame is warped.,2026-03-22 17:15:56.000000,Refunded,1147.57,20.3,Unused
RET0000195,ORD0000487,OI0001051,SKU00031,CUST00165,Difficult assembly,Instructions were just bad diagrams with no text.,2025-11-09 19:16:17.000000,Refunded,37.92,16.23,Unused
RET0000196,ORD0000488,OI0001057,SKU00206,CUST00166,Quality didn't meet expectations,Cushions losing shape after just a month.,2024-09-16 11:33:59.000000,Refunded,122.77,10.31,Used
RET0000197,ORD0000489,OI0001059,SKU00026,CUST00166,Defective,Drawer doesn't close flush - frame is warped.,2024-06-13 11:06:30.000000,Refunded,257.36,14.42,Used
RET0000198,ORD0000490,OI0001065,SKU00099,CUST00167,Quality didn't meet expectations,Stitching on the upholstery is uneven and coming loose.,2025-08-07 07:56:07.000000,Refunded,272.34,10.9,Unused
RET0000199,ORD0000492,OI0001067,SKU00399,CUST00167,Quality didn't meet expectations,Cushions losing shape after just a month.,2026-02-01 13:24:31.000000,Processing,354.19,9.5,Unused
RET0000200,ORD0000493,OI0001068,SKU00144,CUST00167,Too dark,Much more moody and dark in person.,2025-08-27 15:04:37.000000,Inspected,569.16,8.31,Unused
RET0000201,ORD0000496,OI0001072,SKU00226,CUST00168,Defective,Drawer doesn't close flush - frame is warped.,2025-10-18 23:03:03.000000,Inspected,278.08,21.86,Used
RET0000202,ORD0000497,OI0001073,SKU00109,CUST00168,Not as described,Measurements online are wrong - about 3 inches narrower.,2025-12-21 10:31:07.000000,Received,52.88,22.35,Used
RET0000203,ORD0000501,OI0001079,SKU00116,CUST00171,Quality didn't meet expectations,Cushions losing shape after just a month.,2025-08-14 18:54:54.000000,Processing,437.19,26.7,Unused
RET0000204,ORD0000503,OI0001083,SKU00112,CUST00172,Damaged upon arrival,Paint is chipped off in several places.,2024-07-19 11:03:40.000000,Inspected,137.44,10.55,Damaged
RET0000205,ORD0000506,OI0001090,SKU00246,CUST00173,Too light,Pale compared to the product photography.,2026-01-02 07:48:42.000000,Processing,61.53,17.84,Unused
RET0000206,ORD0000509,OI0001097,SKU00339,CUST00175,Not as described,Description said solid wood but this is veneer over particle board.,2025-06-19 05:31:21.000000,Refunded,52.25,12.65,Used
RET0000207,ORD0000510,OI0001100,SKU00094,CUST00175,Too dark,This piece absorbs what little light there is. Makes the corner feel like a cave.,2025-03-20 03:58:34.000000,Refunded,196.33,12.65,Used
RET0000208,ORD0000511,OI0001103,SKU00292,CUST00176,Quality didn't meet expectations,"For this price, I expected much better materials.",2025-09-19 06:04:58.000000,Inspected,175.34,27.08,Unused
RET0000209,ORD0000514,OI0001111,SKU00293,CUST00177,Defective,Drawer doesn't close flush - frame is warped.,2025-05-26 10:13:26.000000,Refunded,144.31,24.63,Unused
RET0000210,ORD0000516,OI0001116,SKU00332,CUST00178,Quality didn't meet expectations,Drawer slides are already sticking after two weeks.,2025-01-21 11:26:29.000000,Refunded,89.79,22.15,Used
RET0000211,ORD0000517,OI0001120,SKU00245,CUST00178,Color mismatch,Gold finish is extremely yellow and brassy.,2024-05-06 06:17:04.000000,Processing,294.66,15.11,Used
RET0000212,ORD0000520,OI0001128,SKU00053,CUST00180,Color mismatch,Beige is much more yellow-toned than the photos.,2026-02-05 03:47:26.000000,Refunded,308.56,13.46,Unused
RET0000213,ORD0000523,OI0001131,SKU00314,CUST00181,Difficult assembly,Need three hands to hold pieces while screwing.,2025-03-29 03:53:35.000000,Refunded,280.31,23.0,Unused
RET0000214,ORD0000524,OI0001132,SKU00192,CUST00181,Defective,Drawer doesn't close flush - frame is warped.,2025-01-25 18:06:20.000000,Inspected,2289.52,27.62,Unused
RET0000215,ORD0000526,OI0001134,SKU00066,CUST00181,Too dark,Much more moody and dark in person.,2026-03-24 22:35:39.000000,Refunded,128.46,8.2,Unused
RET0000216,ORD0000527,OI0001136,SKU00319,CUST00182,Too light,Pale compared to the product photography.,2026-01-28 02:39:19.000000,Refunded,91.53,20.95,Unused
RET0000217,ORD0000532,OI0001145,SKU00302,CUST00184,Quality didn't meet expectations,Stitching on the upholstery is uneven and coming loose.,2024-09-09 05:51:44.000000,Received,352.59,10.17,Unused
RET0000218,ORD0000533,OI0001147,SKU00211,CUST00184,Not as described,Shown with decorative pillows that weren't included.,2025-11-18 09:22:02.000000,Refunded,881.16,28.29,Unused
RET0000219,ORD0000535,OI0001151,SKU00029,CUST00185,Difficult assembly,Instructions were just bad diagrams with no text.,2025-09-06 15:50:11.000000,Refunded,82.22,27.79,Unused
RET0000220,ORD0000544,OI0001167,SKU00236,CUST00188,Not as described,Shown with decorative pillows that weren't included.,2025-03-28 18:07:42.000000,Inspected,184.28,27.94,Unused
RET0000221,ORD0000546,OI0001173,SKU00375,CUST00188,Too light,Wood tone is much lighter than the rich warm color shown.,2025-11-21 05:44:51.000000,Refunded,203.49,9.61,Unused
RET0000222,ORD0000553,OI0001186,SKU00148,CUST00191,Color mismatch,The navy I received is practically black.,2026-03-31 21:57:09.394394,Inspected,182.51,14.8,Used
RET0000223,ORD0000556,OI0001193,SKU00151,CUST00193,Difficult assembly,Holes for cam locks were drilled too shallow.,2026-03-07 05:13:40.000000,Inspected,132.27,14.89,Unused
RET0000224,ORD0000557,OI0001195,SKU00294,CUST00193,Not as described,Description said solid wood but this is veneer over particle board.,2025-04-20 13:59:23.000000,Inspected,111.6,14.91,Unused
RET0000225,ORD0000557,OI0001196,SKU00156,CUST00193,Quality didn't meet expectations,Drawer slides are already sticking after two weeks.,2025-03-31 13:59:23.000000,Refunded,407.78,18.56,Used
RET0000226,ORD0000557,OI0001197,SKU00329,CUST00193,Difficult assembly,Holes for cam locks were drilled too shallow.,2025-04-07 13:59:23.000000,Received,241.01,18.93,Used
RET0000227,ORD0000561,OI0001201,SKU00006,CUST00194,Damaged upon arrival,Paint is chipped off in several places.,2025-07-09 01:11:55.000000,Refunded,58.52,22.6,Damaged
RET0000228,ORD0000562,OI0001202,SKU00316,CUST00195,Color mismatch,Gold finish is extremely yellow and brassy.,2025-08-18 11:50:20.000000,Refunded,110.51,14.68,Used
RET0000229,ORD0000562,OI0001203,SKU00203,CUST00195,Color mismatch,The navy I received is practically black.,2025-08-03 11:50:20.000000,Processing,94.5,20.41,Used
RET0000230,ORD0000566,OI0001212,SKU00279,CUST00196,Too light,Piece almost disappears because it's so light.,2024-06-01 17:26:17.000000,Refunded,277.74,27.82,Used
RET0000231,ORD0000567,OI0001213,SKU00088,CUST00196,Not as described,Photos show a warm honey tone but it's very orange-yellow.,2025-05-26 08:58:20.000000,Received,110.2,8.68,Unused
RET0000232,ORD0000567,OI0001215,SKU00367,CUST00196,Quality didn't meet expectations,Cushions losing shape after just a month.,2025-05-19 08:58:20.000000,Refunded,121.38,13.33,Used
RET0000233,ORD0000568,OI0001216,SKU00097,CUST00196,Defective,One leg is shorter so the table wobbles.,2026-02-05 09:20:31.000000,Refunded,168.91,11.5,Unused
RET0000234,ORD0000570,OI0001219,SKU00338,CUST00197,Difficult assembly,Pieces were labeled wrong - had to reassemble multiple times.,2024-09-05 16:10:19.000000,Refunded,1011.77,29.64,Unused
RET0000235,ORD0000571,OI0001222,SKU00157,CUST00197,Too dark,Much more moody and dark in person.,2025-05-22 03:01:15.000000,Processing,55.96,25.46,Unused
RET0000236,ORD0000573,OI0001228,SKU00026,CUST00198,Damaged upon arrival,Glass component was shattered inside the box.,2025-01-20 00:50:53.000000,Refunded,257.36,18.95,Damaged
RET0000237,ORD0000573,OI0001231,SKU00311,CUST00198,Defective,Drawer doesn't close flush - frame is warped.,2025-01-23 00:50:53.000000,Refunded,150.36,29.15,Unused
RET0000238,ORD0000574,OI0001232,SKU00381,CUST00198,Damaged upon arrival,Huge scratch across the top surface. Looks like it was dragged.,2025-12-27 03:06:16.000000,Inspected,135.31,17.25,Damaged
RET0000239,ORD0000575,OI0001234,SKU00163,CUST00199,Color mismatch,Gold finish is extremely yellow and brassy.,2024-11-16 02:28:09.000000,Refunded,352.01,26.31,Used
RET0000240,ORD0000576,OI0001238,SKU00114,CUST00199,Defective,One leg is shorter so the table wobbles.,2025-01-28 18:48:26.000000,Refunded,47.7,8.49,Unused
RET0000241,ORD0000576,OI0001240,SKU00002,CUST00199,Too dark,Finish is at least two shades darker than shown.,2025-01-08 18:48:26.000000,Refunded,177.16,14.24,Used
RET0000242,ORD0000580,OI0001247,SKU00381,CUST00199,Damaged upon arrival,Glass component was shattered inside the box.,2025-10-19 01:26:37.000000,Inspected,135.31,22.28,Damaged
RET0000243,ORD0000582,OI0001251,SKU00322,CUST00200,Defective,Pre-drilled holes don't line up with hardware.,2024-12-10 00:27:03.000000,Inspected,335.74,17.44,Used
RET0000244,ORD0000583,OI0001253,SKU00161,CUST00200,Color mismatch,Color variation is significant from the photos.,2025-07-04 03:07:37.000000,Refunded,58.09,9.64,Unused
RET0000245,ORD0000584,OI0001256,SKU00340,CUST00200,Quality didn't meet expectations,Cushions losing shape after just a month.,2024-05-02 07:39:42.000000,Processing,338.92,27.51,Unused
RET0000246,ORD0000586,OI0001263,SKU00408,CUST00201,Color mismatch,White is actually off-white/cream.,2024-09-18 19:58:52.000000,Received,181.71,17.02,Unused
RET0000247,ORD0000587,OI0001264,SKU00006,CUST00202,Difficult assembly,Holes for cam locks were drilled too shallow.,2024-07-16 22:22:21.000000,Refunded,184.6,21.58,Used
RET0000248,ORD0000588,OI0001266,SKU00215,CUST00202,Damaged upon arrival,Huge scratch across the top surface. Looks like it was dragged.,2024-11-04 21:38:03.000000,Refunded,44.78,26.15,Damaged
RET0000249,ORD0000588,OI0001267,SKU00121,CUST00202,Defective,Drawer doesn't close flush - frame is warped.,2024-10-23 21:38:03.000000,Refunded,322.75,10.65,Used
RET0000250,ORD0000588,OI0001268,SKU00414,CUST00202,Not as described,Measurements online are wrong - about 3 inches narrower.,2024-11-08 21:38:03.000000,Refunded,335.42,22.27,Unused
RET0000251,ORD0000589,OI0001269,SKU00046,CUST00202,Too light,Wood tone is much lighter than the rich warm color shown.,2025-11-04 17:35:45.000000,Refunded,284.65,15.91,Used
RET0000252,ORD0000591,OI0001275,SKU00312,CUST00203,Not as described,Measurements online are wrong - about 3 inches narrower.,2025-05-21 22:10:57.000000,Refunded,163.28,25.93,Used
RET0000253,ORD0000598,OI0001285,SKU00182,CUST00206,Defective,Light socket is faulty - bulb flickers.,2025-11-04 08:08:08.000000,Refunded,117.48,15.62,Unused
RET0000254,ORD0000599,OI0001289,SKU00130,CUST00206,Color mismatch,Color variation is significant from the photos.,2025-05-01 16:00:15.000000,Received,84.14,16.05,Unused
RET0000255,ORD0000599,OI0001290,SKU00001,CUST00206,Damaged upon arrival,Paint is chipped off in several places.,2025-05-19 16:00:15.000000,Processing,351.97,29.41,Damaged
RET0000256,ORD0000601,OI0001298,SKU00288,CUST00207,Quality didn't meet expectations,Construction feels flimsy and unstable.,2026-01-06 07:46:17.000000,Received,269.0,18.83,Used
RET0000257,ORD0000604,OI0001303,SKU00127,CUST00207,Quality didn't meet expectations,Drawer slides are already sticking after two weeks.,2024-12-19 23:22:48.000000,Refunded,313.62,23.9,Used
RET0000258,ORD0000606,OI0001308,SKU00364,CUST00207,Defective,One leg is shorter so the table wobbles.,2025-03-10 13:00:53.000000,Processing,150.95,11.01,Used
RET0000259,ORD0000609,OI0001315,SKU00319,CUST00209,Difficult assembly,Holes for cam locks were drilled too shallow.,2024-12-30 06:31:31.000000,Refunded,182.07,22.19,Used
RET0000260,ORD0000611,OI0001318,SKU00037,CUST00209,Too light,Piece almost disappears because it's so light.,2025-07-30 03:24:47.000000,Processing,69.66,19.63,Used
RET0000261,ORD0000622,OI0001339,SKU00061,CUST00215,Color mismatch,Beige is much more yellow-toned than the photos.,2025-11-01 08:35:49.000000,Refunded,255.61,9.45,Unused
RET0000262,ORD0000623,OI0001341,SKU00288,CUST00216,Color mismatch,Color variation is significant from the photos.,2025-04-22 20:51:22.000000,Refunded,743.5,20.14,Unused
RET0000263,ORD0000624,OI0001343,SKU00086,CUST00216,Quality didn't meet expectations,Construction feels flimsy and unstable.,2024-11-24 20:40:46.000000,Received,163.12,13.03,Used
RET0000264,ORD0000626,OI0001348,SKU00169,CUST00216,Difficult assembly,Pieces were labeled wrong - had to reassemble multiple times.,2024-11-08 16:56:08.000000,Received,98.8,18.11,Used
RET0000265,ORD0000628,OI0001350,SKU00307,CUST00216,Defective,Pre-drilled holes don't line up with hardware.,2024-07-24 03:37:12.000000,Refunded,628.16,10.49,Unused
RET0000266,ORD0000632,OI0001359,SKU00168,CUST00217,Defective,Drawer doesn't close flush - frame is warped.,2024-07-25 07:05:35.000000,Inspected,232.69,20.02,Used
RET0000267,ORD0000641,OI0001378,SKU00349,CUST00220,Too light,Wood tone is much lighter than the rich warm color shown.,2025-05-15 12:32:50.000000,Inspected,235.96,9.24,Unused
RET0000268,ORD0000641,OI0001379,SKU00032,CUST00220,Too light,Finish is practically white-washed.,2025-05-12 12:32:50.000000,Inspected,636.08,28.88,Used
RET0000269,ORD0000648,OI0001390,SKU00286,CUST00223,Too dark,This piece absorbs what little light there is. Makes the corner feel like a cave.,2024-12-14 05:54:34.000000,Processing,43.5,23.26,Used
RET0000270,ORD0000648,OI0001391,SKU00264,CUST00223,Color mismatch,White is actually off-white/cream.,2024-12-03 05:54:34.000000,Refunded,219.47,11.29,Unused
RET0000271,ORD0000650,OI0001397,SKU00242,CUST00223,Too light,Piece almost disappears because it's so light.,2026-02-02 03:44:56.000000,Inspected,95.96,9.62,Used
RET0000272,ORD0000650,OI0001400,SKU00375,CUST00223,Too light,Finish is practically white-washed.,2026-01-30 03:44:56.000000,Refunded,214.61,8.19,Unused
RET0000273,ORD0000651,OI0001401,SKU00126,CUST00224,Not as described,Shown with decorative pillows that weren't included.,2024-09-29 05:02:43.000000,Inspected,424.1,8.25,Used
RET0000274,ORD0000652,OI0001402,SKU00346,CUST00224,Quality didn't meet expectations,Construction feels flimsy and unstable.,2024-12-22 12:51:56.000000,Received,132.18,8.49,Used
RET0000275,ORD0000652,OI0001404,SKU00293,CUST00224,Defective,Pre-drilled holes don't line up with hardware.,2024-12-23 12:51:56.000000,Refunded,144.31,19.01,Used
RET0000276,ORD0000655,OI0001409,SKU00280,CUST00224,Defective,Drawer doesn't close flush - frame is warped.,2024-09-07 19:27:51.000000,Refunded,104.53,15.25,Used
RET0000277,ORD0000656,OI0001411,SKU00090,CUST00224,Too dark,In evening lighting it's almost black.,2024-12-19 05:06:27.000000,Received,135.78,11.17,Used
RET0000278,ORD0000661,OI0001420,SKU00074,CUST00226,Damaged upon arrival,One of the legs is bent and won't attach properly.,2024-12-05 11:57:54.000000,Refunded,354.27,28.89,Damaged
RET0000279,ORD0000664,OI0001426,SKU00294,CUST00227,Damaged upon arrival,One of the legs is bent and won't attach properly.,2025-06-20 05:47:24.000000,Processing,107.7,22.16,Damaged
RET0000280,ORD0000672,OI0001439,SKU00291,CUST00230,Defective,Pre-drilled holes don't line up with hardware.,2024-07-09 02:48:13.000000,Received,98.52,8.3,Used
RET0000281,ORD0000672,OI0001441,SKU00293,CUST00230,Quality didn't meet expectations,Construction feels flimsy and unstable.,2024-07-03 02:48:13.000000,Refunded,124.31,10.02,Unused
RET0000282,ORD0000673,OI0001443,SKU00370,CUST00230,Too dark,This piece absorbs what little light there is. Makes the corner feel like a cave.,2026-03-04 07:06:23.000000,Refunded,57.78,15.86,Unused
RET0000283,ORD0000680,OI0001457,SKU00361,CUST00233,Difficult assembly,Need three hands to hold pieces while screwing.,2025-01-10 01:39:01.000000,Refunded,510.28,29.65,Used
RET0000284,ORD0000682,OI0001462,SKU00277,CUST00234,Too light,Wood tone is much lighter than the rich warm color shown.,2024-06-12 08:09:46.000000,Inspected,229.08,24.81,Used
RET0000285,ORD0000688,OI0001475,SKU00274,CUST00236,Color mismatch,The navy I received is practically black.,2024-06-11 04:31:16.000000,Refunded,108.3,29.67,Used
RET0000286,ORD0000689,OI0001479,SKU00120,CUST00236,Quality didn't meet expectations,Drawer slides are already sticking after two weeks.,2025-03-07 16:09:34.000000,Refunded,121.98,12.93,Used
RET0000287,ORD0000694,OI0001489,SKU00156,CUST00237,Difficult assembly,Instructions were just bad diagrams with no text.,2025-10-18 14:48:21.000000,Inspected,777.54,24.84,Unused
RET0000288,ORD0000696,OI0001493,SKU00393,CUST00237,Damaged upon arrival,Glass component was shattered inside the box.,2024-08-21 06:49:40.000000,Refunded,98.58,29.9,Damaged
RET0000289,ORD0000698,OI0001497,SKU00336,CUST00237,Color mismatch,Gold finish is extremely yellow and brassy.,2026-01-24 11:12:56.000000,Processing,204.04,29.19,Unused
RET0000290,ORD0000700,OI0001503,SKU00364,CUST00238,Defective,Drawer doesn't close flush - frame is warped.,2024-12-29 10:20:09.000000,Refunded,150.95,17.11,Used
RET0000291,ORD0000701,OI0001508,SKU00088,CUST00238,Defective,Pre-drilled holes don't line up with hardware.,2024-06-24 14:19:06.000000,Refunded,347.91,10.05,Used
RET0000292,ORD0000702,OI0001510,SKU00152,CUST00239,Not as described,Shown with decorative pillows that weren't included.,2024-11-13 05:02:46.000000,Refunded,293.81,11.73,Used
RET0000293,ORD0000703,OI0001511,SKU00209,CUST00239,Damaged upon arrival,The box arrived crushed and the corner was cracked.,2024-07-22 10:31:42.000000,Processing,82.82,27.52,Damaged
RET0000294,ORD0000704,OI0001514,SKU00185,CUST00239,Defective,Light socket is faulty - bulb flickers.,2025-07-15 21:40:00.000000,Refunded,129.35,24.25,Used
RET0000295,ORD0000705,OI0001517,SKU00017,CUST00239,Color mismatch,Gold finish is extremely yellow and brassy.,2025-12-11 04:41:24.000000,Refunded,786.11,14.16,Used
RET0000296,ORD0000707,OI0001519,SKU00039,CUST00241,Too dark,Finish is at least two shades darker than shown.,2025-08-18 09:00:41.000000,Inspected,122.53,23.29,Used
RET0000297,ORD0000709,OI0001523,SKU00327,CUST00241,Too light,Finish is practically white-washed.,2026-01-01 14:54:31.000000,Refunded,815.36,20.22,Unused
RET0000298,ORD0000710,OI0001525,SKU00262,CUST00242,Defective,Drawer doesn't close flush - frame is warped.,2025-08-21 18:35:06.000000,Refunded,35.16,16.22,Unused
RET0000299,ORD0000710,OI0001526,SKU00340,CUST00242,Defective,Pre-drilled holes don't line up with hardware.,2025-08-18 18:35:06.000000,Inspected,187.51,14.48,Unused
RET0000300,ORD0000712,OI0001530,SKU00249,CUST00242,Quality didn't meet expectations,Construction feels flimsy and unstable.,2025-12-19 22:24:25.000000,Processing,136.93,12.64,Unused
RET0000301,ORD0000714,OI0001532,SKU00313,CUST00243,Quality didn't meet expectations,"For this price, I expected much better materials.",2025-02-15 21:11:30.000000,Received,24.79,25.01,Unused
RET0000302,ORD0000716,OI0001536,SKU00296,CUST00243,Quality didn't meet expectations,"For this price, I expected much better materials.",2026-03-27 02:10:49.000000,Refunded,298.19,9.85,Unused
RET0000303,ORD0000717,OI0001540,SKU00356,CUST00243,Defective,Light socket is faulty - bulb flickers.,2025-03-28 07:20:56.000000,Inspected,182.14,9.9,Unused
RET0000304,ORD0000722,OI0001555,SKU00067,CUST00247,Color mismatch,Beige is much more yellow-toned than the photos.,2024-12-13 15:07:54.000000,Refunded,332.35,9.9,Unused
RET0000305,ORD0000732,OI0001580,SKU00246,CUST00248,Damaged upon arrival,One of the legs is bent and won't attach properly.,2024-10-06 08:13:34.000000,Inspected,142.58,27.93,Damaged
RET0000306,ORD0000733,OI0001584,SKU00228,CUST00249,Difficult assembly,Pieces were labeled wrong - had to reassemble multiple times.,2024-11-20 23:47:33.000000,Inspected,248.19,27.25,Used
RET0000307,ORD0000741,OI0001596,SKU00390,CUST00253,Too light,Piece almost disappears because it's so light.,2024-08-23 00:24:39.000000,Refunded,103.4,21.22,Unused
RET0000308,ORD0000741,OI0001597,SKU00251,CUST00253,Damaged upon arrival,Paint is chipped off in several places.,2024-09-02 00:24:39.000000,Inspected,40.0,8.57,Damaged
RET0000309,ORD0000744,OI0001603,SKU00116,CUST00254,Not as described,Measurements online are wrong - about 3 inches narrower.,2025-04-20 08:25:44.000000,Received,240.33,23.09,Unused
RET0000310,ORD0000746,OI0001609,SKU00013,CUST00255,Defective,Drawer doesn't close flush - frame is warped.,2025-07-28 15:52:27.000000,Refunded,498.96,12.59,Unused
RET0000311,ORD0000753,OI0001626,SKU00113,CUST00258,Defective,Drawer doesn't close flush - frame is warped.,2024-11-27 00:41:01.000000,Refunded,25.77,11.32,Used
RET0000312,ORD0000754,OI0001628,SKU00011,CUST00258,Quality didn't meet expectations,Cushions losing shape after just a month.,2025-10-17 11:04:09.000000,Refunded,68.55,25.79,Used
RET0000313,ORD0000755,OI0001631,SKU00065,CUST00258,Quality didn't meet expectations,Cushions losing shape after just a month.,2026-02-24 02:39:44.000000,Refunded,197.63,23.96,Unused
RET0000314,ORD0000757,OI0001635,SKU00355,CUST00259,Too light,Wood tone is much lighter than the rich warm color shown.,2024-06-16 17:19:05.000000,Received,31.52,25.11,Used
RET0000315,ORD0000760,OI0001644,SKU00150,CUST00260,Not as described,Shown with decorative pillows that weren't included.,2026-04-02 21:57:09.899582,Received,80.52,14.91,Unused
RET0000316,ORD0000760,OI0001645,SKU00152,CUST00260,Color mismatch,Color variation is significant from the photos.,2026-04-02 21:57:09.900831,Refunded,262.95,29.05,Unused
RET0000317,ORD0000760,OI0001648,SKU00077,CUST00260,Difficult assembly,Need three hands to hold pieces while screwing.,2026-04-08 21:57:09.904116,Received,230.1,23.65,Used
